X.step.,meanI,SdI,meanS,SdS,meanE,SdE,meanR,SdR
172,0.01524,0.0060997156173255235,0.51136,0.03197815580954587,0.0076,0.004040610178208843,0.4658,0.029347321958271576
173,0.01524,0.0060997156173255235,0.51136,0.03197815580954587,0.0076,0.004040610178208843,0.4658,0.029347321958271576
174,0.01516,0.005800633322213662,0.50768,0.03162628718038726,0.00736,0.004168687945106166,0.4698,0.029419554790676775
175,0.01516,0.005800633322213662,0.50768,0.03162628718038726,0.00736,0.004168687945106166,0.4698,0.029419554790676775
176,0.01544,0.005222244415449537,0.50476,0.03170756685585269,0.0066,0.004223355856884138,0.4732,0.030398711036046598
177,0.01544,0.005222244415449537,0.50476,0.03170756685585269,0.0066,0.004223355856884138,0.4732,0.030398711036046598
178,0.01548,0.006031346686863793,0.50068,0.03162435124768151,0.007,0.003686710828732554,0.47684,0.030615695587827674
179,0.01548,0.006031346686863793,0.50068,0.03162435124768151,0.007,0.003686710828732554,0.47684,0.030615695587827674
180,0.014199999999999999,0.006301927142889365,0.49644,0.03175490320487564,0.008320000000000001,0.004027659471247108,0.48104,0.031664671616352336
181,0.014199999999999999,0.006301927142889365,0.49644,0.03175490320487564,0.008320000000000001,0.004027659471247108,0.48104,0.031664671616352336
182,0.01436,0.006294668946247859,0.49296,0.03225216967863701,0.00772,0.004571607139369556,0.48496,0.03243137810384083
183,0.01436,0.006294668946247859,0.49296,0.03225216967863701,0.00772,0.004571607139369556,0.48496,0.03243137810384083
184,0.01492,0.0063786634131905336,0.48908,0.032236903684809345,0.00736,0.003842618155075298,0.48864,0.031978155809545876
185,0.01492,0.0063786634131905336,0.48908,0.032236903684809345,0.00736,0.003842618155075298,0.48864,0.031978155809545876
186,0.01472,0.005580724845028499,0.48576,0.03215432176493956,0.0072,0.004333071682315171,0.49232,0.03162628718038726
187,0.01472,0.005580724845028499,0.48576,0.03215432176493956,0.0072,0.004333071682315171,0.49232,0.03162628718038726
188,0.01568,0.005530767374885879,0.48228,0.03191573087916084,0.0068000000000000005,0.003404678653660853,0.49524,0.03170756685585269
189,0.01568,0.005530767374885879,0.48228,0.03191573087916084,0.0068000000000000005,0.003404678653660853,0.49524,0.03170756685585269
190,0.01492,0.006592636585074073,0.47812,0.03151005022696922,0.00764,0.0041342768288975505,0.49932,0.031624351247681516
191,0.01492,0.006592636585074073,0.47812,0.03151005022696922,0.00764,0.0041342768288975505,0.49932,0.031624351247681516
192,0.01416,0.005358038020448476,0.4742,0.03162342195788639,0.00808,0.004313434163832141,0.50356,0.03175490320487564
193,0.01416,0.005358038020448476,0.4742,0.03162342195788639,0.00808,0.004313434163832141,0.50356,0.03175490320487564
